FID,ZIP,Colorectal,Lung_Bronc,Breast_Can,Prostate_C,Urinary_Sy,All_Cancer,SHAPE_Length,SHAPE_Area
1,60002,218.062127134,419.66673524,399.094836453,259.205924707,259.205924707,2703.14750051,0.730856657038091,0.0116857621714947
2,60010,258.915706052,335.464697406,504.322766571,499.819884726,227.395533141,3248.82925072,0.585157089170713,0.00812864201695684
3,60015,153.435867461,230.153801191,478.57377708,442.041427684,222.847331312,2922.58795163,0.371888905605512,0.00371971467152872
4,60020,292.797189147,507.515127855,214.717938708,302.557095452,370.876439586,3084.13039235,0.299823028025673,0.00169283287962414
5,60030,221.535431994,284.440554659,404.780789323,322.730629325,210.595410661,2581.8450346,0.796326964676775,0.0085803813422124
6,60031,163.502109705,221.518987342,414.029535865,303.270042194,160.864978903,2217.82700422,0.533164818574368,0.00535277477574571
7,60035,241.311123772,475.919160774,553.004658645,482.622247545,392.13057613,3760.43167879,0.372889443593988,0.00350091228449384
8,60040,55.5555555556,240.740740741,277.777777778,185.185185185,185.185185185,1796.2962963,0.0807983128118302,0.000180370808008003
9,60042,140.252454418,315.56802244,397.381954184,187.003272557,187.003272557,2267.41467976,0.135803100665044,0.00045803354414114
10,60044,206.547557575,237.529691211,557.678405453,413.09511515,165.23804606,3149.85025302,0.293811035627112,0.00215772817377088
11,60045,258.334958081,316.825891987,609.280561513,497.172938195,282.706180542,3611.81516865,0.52015565717169,0.00629743040804152
12,60046,177.859376345,258.182965662,398.749246966,275.395163372,197.940273674,2340.85888867,0.665846958584019,0.00742198499953419
13,60047,198.953127591,184.742189905,362.378910968,305.535160228,172.899741835,2261.90758154,0.575796865467935,0.00931098207603444
14,60048,276.601557164,245.868050813,450.758093157,331.238901789,211.719710422,2697.71889086,0.619966976698028,0.00830639737023088
15,60060,184.467810367,197.644082536,358.394602999,231.902390176,184.467810367,2174.0849079,0.580834545641601,0.00626104386489828
16,60061,214.198286414,221.848225214,367.197062424,237.148102815,225.673194614,2409.73072215,0.322058532495664,0.00260820559371432
17,60064,188.702981507,270.474273494,239.023776576,245.313875959,56.6108944521,1830.41892062,0.287879771869124,0.00141951293230882
18,60069,457.776171546,578.24358511,626.430550536,457.776171546,421.635947476,4505.48126732,0.473188713945471,0.00172207678426847
19,60073,103.329506315,188.617352796,211.579465311,145.973429556,126.291618829,1533.54108578,0.659258123897785,0.0052751029413469
20,60083,173.376998652,221.537276055,529.763051435,356.386052784,134.848776729,2205.74070507,0.531431851766544,0.0074022807679842
21,60084,226.88598979,340.328984685,296.212264448,283.607487238,302.514653054,2596.58410538,0.518909077254928,0.00512139983422599
22,60085,133.592080099,182.810214872,203.903701204,202.497468782,113.90482619,1465.29418382,0.444956403125222,0.00397857217160218
23,60087,212.33032532,303.329036172,269.204519603,254.038067794,178.205808751,2092.97034959,0.530619950799707,0.00396097945996382
24,60089,216.429395922,317.429780685,485.76375529,375.144286264,216.429395922,2991.53520585,0.544014766457293,0.00230574240014779
25,60096,303.907380608,376.266280753,405.20984081,376.266280753,202.604920405,2995.65846599,0.205676458682277,0.001437981624792
26,60099,220.701831825,280.606614749,302.676797932,264.84219819,208.090298578,2317.36923416,0.619409371550314,0.00636801646791349
27,60041,323.512420566,496.822645869,288.850375505,404.390525708,381.282495667,3200.4621606,0.485498911565742,0.00397988008527301
